ts,open,high,low,close,volume,turnover,datetime
1656028800000,21110.97,21559.28,20739.57,21238.42,5205.770651,109904514.23881567,2022-06-24 00:00:00+00:00
1656115200000,21238.42,21607.65,20907.81,21491.37,2895.776098,61603353.13356612,2022-06-25 00:00:00+00:00
1656201600000,21491.37,21882.23,20971.28,21038.91,2253.067899,48155094.75418133,2022-06-26 00:00:00+00:00
1656288000000,21038.91,21546.11,20518.04,20739.51,3322.170719,69753993.56586556,2022-06-27 00:00:00+00:00
1656374400000,20739.51,21212.5,20203.59,20280.4,4104.845203,84984357.60208917,2022-06-28 00:00:00+00:00
1656460800000,20280.4,20433.99,19851.4,20126.0,4940.97315,99425320.11654371,2022-06-29 00:00:00+00:00
1656547200000,20126.0,20171.76,18625.0,19947.96,9464.0304,182191729.53307993,2022-06-30 00:00:00+00:00
1656633600000,19947.96,20926.71,18966.84,19281.8,9540.546032,187735798.70641055,2022-07-01 00:00:00+00:00
1656720000000,19281.8,19447.74,18981.0,19251.74,2966.433388,57064970.10494817,2022-07-02 00:00:00+00:00
1656806400000,19251.74,19648.13,18780.37,19315.27,2883.062387,55302089.90032602,2022-07-03 00:00:00+00:00
1656892800000,19315.27,20359.68,19053.02,20237.99,5016.41958,98843497.94328657,2022-07-04 00:00:00+00:00
1656979200000,20237.99,20747.06,19300.0,20174.35,6946.697845,138759962.02599422,2022-07-05 00:00:00+00:00
1657065600000,20174.35,20670.93,19765.75,20564.05,5210.425243,105208204.56342996,2022-07-06 00:00:00+00:00
1657152000000,20564.05,21836.89,20250.0,21618.7,5862.289343,122738399.74577886,2022-07-07 00:00:00+00:00
1657238400000,21618.7,22526.36,21183.18,21593.13,6770.345943,147217403.41701773,2022-07-08 00:00:00+00:00
1657324800000,21593.13,21994.72,21323.05,21590.24,2508.779821,54248651.9140727,2022-07-09 00:00:00+00:00
1657411200000,21590.24,21606.48,20639.57,20861.22,2728.357746,57586653.33895962,2022-07-10 00:00:00+00:00
1657497600000,20861.22,20861.48,19880.0,19962.69,3387.391808,69243039.96756339,2022-07-11 00:00:00+00:00
1657584000000,19962.69,20058.76,19249.3,19332.71,4684.517703,92415204.37166977,2022-07-12 00:00:00+00:00
1657670400000,19332.71,20359.99,18911.04,20239.13,7839.893743,153370490.91165064,2022-07-13 00:00:00+00:00
1657756800000,20239.13,20895.32,19625.76,20591.15,5756.575476,116120699.74182457,2022-07-14 00:00:00+00:00
1657843200000,20591.15,21200.0,20383.34,20832.45,4373.489352,91085541.33451583,2022-07-15 00:00:00+00:00
1657929600000,20832.45,21582.47,20473.64,21196.23,3138.949522,66019592.5588587,2022-07-16 00:00:00+00:00
1658016000000,21196.23,21674.99,20755.72,20801.77,3033.067026,64449653.49828345,2022-07-17 00:00:00+00:00
1658102400000,20801.77,22768.06,20764.1,22440.0,5617.596898,123301023.66946656,2022-07-18 00:00:00+00:00
1658188800000,22440.0,23797.85,21581.99,23398.06,6696.447694,151677754.0510854,2022-07-19 00:00:00+00:00
1658275200000,23398.06,24265.89,22919.4,23219.63,7007.354487,165328001.61353658,2022-07-20 00:00:00+00:00
1658361600000,23219.63,23427.84,22345.85,23147.78,4741.754297,108630909.89841787,2022-07-21 00:00:00+00:00
1658448000000,23147.78,23747.99,22506.0,22687.01,3585.480719,83133077.01079016,2022-07-22 00:00:00+00:00
1658534400000,22687.01,22997.15,21945.31,22452.4,2405.627435,53967370.19931365,2022-07-23 00:00:00+00:00
1658620800000,22452.4,23007.64,22262.75,22581.53,2032.943388,46120549.04240996,2022-07-24 00:00:00+00:00
1658707200000,22581.53,22663.05,21254.9,21312.66,3573.508141,78321336.7114414,2022-07-25 00:00:00+00:00
1658793600000,21312.66,21342.32,20710.36,21248.22,3067.313524,64482452.85653179,2022-07-26 00:00:00+00:00
1658880000000,21248.22,23100.0,21042.46,22950.43,4708.315569,103404053.90880358,2022-07-27 00:00:00+00:00
1658966400000,22950.43,24192.14,22577.19,23845.75,4912.810414,114822770.04842807,2022-07-28 00:00:00+00:00
1659052800000,23845.75,24439.72,23427.6,23775.76,4283.444472,102219025.86912338,2022-07-29 00:00:00+00:00
1659139200000,23775.76,24668.16,23512.92,23638.03,3430.733782,82677102.29262167,2022-07-30 00:00:00+00:00
1659225600000,23638.03,24190.45,23233.94,23305.12,2132.808173,50525916.54751516,2022-07-31 00:00:00+00:00
1659312000000,23305.12,23499.48,22852.3,23265.44,2259.666522,52398867.9066898,2022-08-01 00:00:00+00:00
1659398400000,23265.44,23450.0,22657.2,22978.1,2698.984857,61934853.91396941,2022-08-02 00:00:00+00:00
1659484800000,22978.1,23638.46,22685.78,22819.37,2076.332526,48155032.31408761,2022-08-03 00:00:00+00:00
1659571200000,22819.37,23217.02,22404.72,22617.74,2278.79047,52007363.04489766,2022-08-04 00:00:00+00:00
1659657600000,22617.74,23475.53,22591.61,23308.31,2485.564815,57433053.94522387,2022-08-05 00:00:00+00:00
1659744000000,23308.31,23346.86,22910.01,22951.2,985.864994,22844582.06640862,2022-08-06 00:00:00+00:00
1659830400000,22951.2,23396.97,22850.0,23177.58,890.846902,20568347.42965646,2022-08-07 00:00:00+00:00
1659916800000,23177.58,24240.6,23159.87,23815.45,2284.475576,54603454.43379235,2022-08-08 00:00:00+00:00
1660003200000,23815.45,23926.69,22875.0,23150.39,1956.630895,45701347.71678901,2022-08-09 00:00:00+00:00
1660089600000,23150.39,24221.92,22664.06,23952.14,3440.139455,81198209.54968428,2022-08-10 00:00:00+00:00
1660176000000,23952.14,24920.0,23857.13,23935.04,3553.309597,86821433.13395216,2022-08-11 00:00:00+00:00
1660262400000,23935.04,24449.69,23589.76,24395.19,1689.441486,40489908.20050583,2022-08-12 00:00:00+00:00
1660348800000,24395.19,24880.13,24299.94,24437.66,1464.78086,35961849.37020538,2022-08-13 00:00:00+00:00
1660435200000,24437.66,25040.0,24150.0,24303.56,1550.748524,38014597.07320905,2022-08-14 00:00:00+00:00
1660521600000,24303.56,25204.62,23772.42,24095.41,2639.302276,64160429.24457477,2022-08-15 00:00:00+00:00
1660608000000,24095.41,24241.85,23678.49,23859.05,1700.267786,40724297.10815924,2022-08-16 00:00:00+00:00
1660694400000,23859.05,24440.71,23187.51,23335.92,2494.748623,59116549.06695606,2022-08-17 00:00:00+00:00
1660780800000,23335.92,23594.7,23097.68,23187.3,1689.865001,39488996.89275478,2022-08-18 00:00:00+00:00
1660867200000,23187.3,23199.37,20785.07,20827.96,5178.872814,112271641.39531614,2022-08-19 00:00:00+00:00
1660953600000,20827.96,21370.11,20768.12,21137.82,2911.976528,61565607.9900923,2022-08-20 00:00:00+00:00
1661040000000,21137.82,21783.45,21068.22,21516.52,1931.580462,41348581.56993781,2022-08-21 00:00:00+00:00
1661126400000,21516.52,21540.0,20899.33,21399.3,2556.736212,54257577.07631783,2022-08-22 00:00:00+00:00
1661212800000,21399.3,21678.55,20895.01,21519.02,2314.974876,49566364.91159027,2022-08-23 00:00:00+00:00
1661299200000,21519.02,21897.64,21154.25,21366.01,1822.516966,39155784.7142699,2022-08-24 00:00:00+00:00
1661385600000,21366.01,21811.0,21312.51,21563.81,1602.992599,34625794.37526525,2022-08-25 00:00:00+00:00
1661472000000,21563.81,21868.78,20115.0,20244.11,4770.011922,100582698.91854416,2022-08-26 00:00:00+00:00
1661558400000,20244.11,20371.8,19799.0,20043.3,2887.359237,58011366.07790807,2022-08-27 00:00:00+00:00
1661644800000,20043.3,20158.75,19526.89,19555.66,1754.10149,34983449.66917417,2022-08-28 00:00:00+00:00
1661731200000,19555.66,20427.41,19553.08,20293.48,2705.206325,54142095.40426399,2022-08-29 00:00:00+00:00
1661817600000,20293.48,20574.55,19541.52,19811.52,2888.176734,57900334.98029962,2022-08-30 00:00:00+00:00
1661904000000,19811.52,20494.03,19801.94,20051.21,2059.097645,41575064.42466039,2022-08-31 00:00:00+00:00
1661990400000,20051.21,20203.29,19568.0,20133.28,2278.576658,45415454.0025662,2022-09-01 00:00:00+00:00
1662076800000,20133.28,20434.07,19760.0,19955.34,2980.69022,59895374.78721071,2022-09-02 00:00:00+00:00
1662163200000,19955.34,20049.0,19657.01,19833.16,934.81972,18543801.9773885,2022-09-03 00:00:00+00:00
1662249600000,19833.16,20023.7,19591.01,20001.27,1272.552372,25207644.71975551,2022-09-04 00:00:00+00:00
1662336000000,20001.27,20057.44,19640.66,19794.78,1486.096903,29416182.79027478,2022-09-05 00:00:00+00:00
1662422400000,19794.78,20178.84,18650.96,18789.67,9917.199961,192531007.41100516,2022-09-06 00:00:00+00:00
1662508800000,18789.67,19462.01,18525.51,19291.68,10226.076906,193625846.93474999,2022-09-07 00:00:00+00:00
1662595200000,19291.68,19458.29,19015.1,19317.14,9319.062746,179304607.87035913,2022-09-08 00:00:00+00:00
1662681600000,19317.14,21629.15,19291.51,21364.44,15658.380313,325578723.1344287,2022-09-09 00:00:00+00:00
1662768000000,21364.44,21806.64,21116.39,21645.83,10141.894331,217193006.71764801,2022-09-10 00:00:00+00:00
1662854400000,21645.83,21865.56,21344.7,21823.17,10159.162556,219451317.13982394,2022-09-11 00:00:00+00:00
1662940800000,21823.17,22484.14,21545.45,22394.49,12758.906423,281796084.25290505,2022-09-12 00:00:00+00:00
1663027200000,22394.49,22800.35,19872.68,20172.78,17393.000722,372727434.74764113,2022-09-13 00:00:00+00:00
1663113600000,20172.78,20533.32,19623.37,20224.55,10286.717736,207383497.05552006,2022-09-14 00:00:00+00:00
1663200000000,20224.55,20328.84,19500.0,19700.98,15309.748898,305701271.98538167,2022-09-15 00:00:00+00:00
1663286400000,19700.98,19890.0,19335.0,19807.09,10869.969724,213664329.16433848,2022-09-16 00:00:00+00:00
1663372800000,19807.09,20186.41,19745.41,20112.0,7160.104206,142953582.54507409,2022-09-17 00:00:00+00:00
1663459200000,20112.0,20117.19,19335.26,19416.95,10339.976038,204291709.23722841,2022-09-18 00:00:00+00:00
1663545600000,19416.95,19685.0,18252.0,19535.58,19308.471492,365941068.85366773,2022-09-19 00:00:00+00:00
1663632000000,19535.58,19634.8,18725.0,18875.72,14739.245334,282452091.07582441,2022-09-20 00:00:00+00:00
1663718400000,18875.72,19973.62,18137.44,18459.81,25010.862661,477000932.75354735,2022-09-21 00:00:00+00:00
1663804800000,18459.81,19528.59,18359.11,19397.79,31107.745864,591830076.45503226,2022-09-22 00:00:00+00:00
1663891200000,19397.79,19500.0,18533.32,19287.95,25769.583002,489208842.01670523,2022-09-23 00:00:00+00:00
1663977600000,19287.95,19312.49,18806.0,18918.62,12318.194941,234620445.23901485,2022-09-24 00:00:00+00:00
1664064000000,18918.62,19185.45,18631.69,18806.85,10335.961544,195839937.61557318,2022-09-25 00:00:00+00:00
1664150400000,18806.85,19317.06,18681.23,19225.7,21738.984522,413809955.19022369,2022-09-26 00:00:00+00:00
1664236800000,19225.7,20383.48,18812.6,19076.02,38366.885709,753270975.10710183,2022-09-27 00:00:00+00:00
1664323200000,19076.02,19776.68,18468.11,19413.5,33819.821532,646980169.65625646,2022-09-28 00:00:00+00:00
1664409600000,19413.5,19643.92,18842.36,19591.57,18815.481989,363913885.79092853,2022-09-29 00:00:00+00:00
1664496000000,19591.57,20181.4,19154.67,19421.9,15431.264253,302079173.22650695,2022-09-30 00:00:00+00:00
1664582400000,19421.9,19483.3,19161.74,19311.15,6395.494739,123505259.35530127,2022-10-01 00:00:00+00:00
1664668800000,19311.15,19395.76,18921.46,19058.81,8467.058583,162532703.92951624,2022-10-02 00:00:00+00:00
1664755200000,19058.81,19714.24,18962.08,19628.05,13583.105197,262804710.57685955,2022-10-03 00:00:00+00:00
