ts,open,high,low,close,volume,turnover,datetime
1750608000000,98916.1,99689.0,98678.0,99662.8,1103.239831,109305422.94623772,2025-06-22 16:00:00+00:00
1750611600000,99662.8,100377.1,99403.8,99487.0,759.980803,75821109.91977162,2025-06-22 17:00:00+00:00
1750615200000,99487.0,99795.1,99354.8,99439.9,291.979406,29063188.98401071,2025-06-22 18:00:00+00:00
1750618800000,99439.9,99461.8,98794.5,98876.1,479.674402,47542675.51140871,2025-06-22 19:00:00+00:00
1750622400000,98876.1,99761.7,98185.9,99545.1,1095.219697,108141780.82244426,2025-06-22 20:00:00+00:00
1750626000000,99545.1,99671.8,99005.8,99185.8,453.056878,44997858.47341292,2025-06-22 21:00:00+00:00
1750629600000,99185.8,100967.4,99135.4,100967.4,813.413312,81574808.32471162,2025-06-22 22:00:00+00:00
1750633200000,100967.4,101027.8,100645.3,100958.3,339.736761,34266478.85065966,2025-06-22 23:00:00+00:00
1750636800000,100958.3,101600.0,100470.8,100907.1,470.087154,47454772.05797671,2025-06-23 00:00:00+00:00
1750640400000,100907.1,101111.0,100559.6,101101.5,249.205361,25117077.06947667,2025-06-23 01:00:00+00:00
1750644000000,101101.5,101382.4,100923.1,101287.4,312.242265,31594365.40037985,2025-06-23 02:00:00+00:00
1750647600000,101287.4,101369.0,101067.7,101158.6,184.682319,18690094.5152747,2025-06-23 03:00:00+00:00
1750651200000,101158.6,101321.8,100970.7,101169.8,221.36877,22396724.37965749,2025-06-23 04:00:00+00:00
1750654800000,101169.8,101843.4,101169.8,101765.7,297.987189,30255133.57910611,2025-06-23 05:00:00+00:00
1750658400000,101765.7,102073.3,101645.2,101941.2,368.216504,37511963.13431457,2025-06-23 06:00:00+00:00
1750662000000,101941.2,102140.0,101763.0,101935.8,298.519251,30426039.28564886,2025-06-23 07:00:00+00:00
1750665600000,101935.8,102084.9,101747.8,101871.5,229.636243,23400338.24659872,2025-06-23 08:00:00+00:00
1750669200000,101871.5,101877.6,101389.6,101566.0,351.932652,35744527.84560409,2025-06-23 09:00:00+00:00
1750672800000,101566.0,101588.8,101203.1,101459.7,248.816497,25236148.03956213,2025-06-23 10:00:00+00:00
1750676400000,101459.7,101571.9,101102.5,101288.0,342.33371,34686275.23743815,2025-06-23 11:00:00+00:00
1750680000000,101288.0,101680.0,101100.2,101676.3,415.381163,42085850.14764987,2025-06-23 12:00:00+00:00
1750683600000,101676.3,102464.7,100798.7,102346.2,1162.709712,118261481.7784907,2025-06-23 13:00:00+00:00
1750687200000,102346.2,102621.8,101500.0,101628.8,1218.623213,124317632.56238809,2025-06-23 14:00:00+00:00
1750690800000,101628.8,102057.3,101295.3,101422.3,629.081149,63974643.36606095,2025-06-23 15:00:00+00:00
1750694400000,101422.3,101454.4,99619.8,100696.7,1754.477911,176284258.11023837,2025-06-23 16:00:00+00:00
1750698000000,100696.7,102715.9,100487.5,102478.7,1316.885467,134071822.26752926,2025-06-23 17:00:00+00:00
1750701600000,102478.7,103300.0,102386.2,102929.3,1013.687124,104340064.9764162,2025-06-23 18:00:00+00:00
1750705200000,102929.3,103241.8,102666.64,103163.8,566.674166,58338833.52101228,2025-06-23 19:00:00+00:00
1750708800000,103163.8,103918.8,102876.2,103741.4,778.311221,80601166.08457913,2025-06-23 20:00:00+00:00
1750712400000,103741.4,104213.6,103624.7,103698.9,375.825669,39037782.20896843,2025-06-23 21:00:00+00:00
1750716000000,103698.9,106057.5,103698.9,105550.7,1639.658709,172554405.867843,2025-06-23 22:00:00+00:00
1750719600000,105550.7,105683.3,105110.6,105343.5,759.80861,80094297.44491899,2025-06-23 23:00:00+00:00
1750723200000,105343.5,105519.3,104917.4,105138.8,465.936029,49029142.88179858,2025-06-24 00:00:00+00:00
1750726800000,105138.8,105497.1,104976.6,105446.1,270.377164,28436902.66047933,2025-06-24 01:00:00+00:00
1750730400000,105446.1,105450.0,104722.4,104776.6,396.333748,41586778.29786085,2025-06-24 02:00:00+00:00
1750734000000,104776.6,105142.0,104737.2,104923.3,261.482388,27443267.5097381,2025-06-24 03:00:00+00:00
1750737600000,104923.3,104976.0,104711.7,104823.3,206.085993,21611228.63507007,2025-06-24 04:00:00+00:00
1750741200000,104823.3,105423.6,104823.3,105392.7,372.692657,39199169.39123263,2025-06-24 05:00:00+00:00
1750744800000,105392.7,105829.9,105237.0,105664.1,354.842524,37462445.98290894,2025-06-24 06:00:00+00:00
1750748400000,105664.1,105791.0,104902.9,104950.6,718.483663,75675044.60852254,2025-06-24 07:00:00+00:00
1750752000000,104950.6,105160.7,104621.6,105005.8,613.339593,64352229.49138297,2025-06-24 08:00:00+00:00
1750755600000,105005.8,105570.0,104955.4,105200.1,335.718348,35334803.66828291,2025-06-24 09:00:00+00:00
1750759200000,105200.1,105357.8,105066.1,105271.9,230.895544,24294591.27722277,2025-06-24 10:00:00+00:00
1750762800000,105271.9,105439.8,105011.8,105176.1,341.917388,35972176.09173398,2025-06-24 11:00:00+00:00
1750766400000,105176.1,105312.1,104966.7,105199.9,264.10744,27762126.51782541,2025-06-24 12:00:00+00:00
1750770000000,105199.9,105388.0,104800.1,105076.2,574.645772,60395743.24955204,2025-06-24 13:00:00+00:00
1750773600000,105076.2,105666.7,104946.3,105522.0,599.098494,63114803.20035861,2025-06-24 14:00:00+00:00
1750777200000,105522.0,105740.0,105144.0,105237.8,498.837284,52629897.26276077,2025-06-24 15:00:00+00:00
1750780800000,105237.8,106266.1,105169.0,106215.8,533.894781,56414468.41761468,2025-06-24 16:00:00+00:00
1750784400000,106215.8,106287.4,105600.0,106049.2,399.2969,42297113.17475273,2025-06-24 17:00:00+00:00
