ts,open,high,low,close,volume,turnover,datetime
1750605300000,2197.45,2205.27,2182.52,2182.79,4620.46547,10136667.5234026,2025-06-22 15:15:00+00:00
1750606200000,2182.79,2194.22,2178.31,2180.91,4064.50243,8888937.5307465,2025-06-22 15:30:00+00:00
1750607100000,2180.91,2186.3,2169.03,2174.76,3348.90054,7287424.5452537,2025-06-22 15:45:00+00:00
1750608000000,2174.76,2188.54,2173.5,2181.22,4094.64035,8927492.842511,2025-06-22 16:00:00+00:00
1750608900000,2181.22,2190.19,2175.63,2180.61,2728.31418,5954672.6048815,2025-06-22 16:15:00+00:00
1750609800000,2180.61,2197.81,2179.59,2182.77,3016.07534,6605067.414411,2025-06-22 16:30:00+00:00
1750610700000,2182.77,2198.85,2181.56,2196.93,2862.4026,6270181.9752544,2025-06-22 16:45:00+00:00
1750611600000,2196.93,2219.9,2189.59,2205.02,4111.35761,9065970.153458,2025-06-22 17:00:00+00:00
1750612500000,2205.02,2206.11,2186.43,2190.38,2322.68295,5101503.4133227,2025-06-22 17:15:00+00:00
1750613400000,2190.38,2199.55,2189.75,2196.2,1133.63127,2487901.7764947,2025-06-22 17:30:00+00:00
1750614300000,2196.2,2204.5,2189.17,2192.54,1317.23877,2893199.3616306,2025-06-22 17:45:00+00:00
1750615200000,2192.54,2198.72,2185.31,2186.61,1416.46976,3104549.5143371,2025-06-22 18:00:00+00:00
1750616100000,2186.61,2190.98,2179.3,2188.15,2020.94958,4416092.211353,2025-06-22 18:15:00+00:00
1750617000000,2188.15,2193.42,2180.21,2192.69,1293.88123,2829942.7192667,2025-06-22 18:30:00+00:00
1750617900000,2192.69,2192.98,2180.42,2182.95,1296.50456,2836912.9527725,2025-06-22 18:45:00+00:00
1750618800000,2182.95,2189.19,2170.94,2180.81,3334.05473,7265145.2894376,2025-06-22 19:00:00+00:00
1750619700000,2180.81,2189.18,2177.33,2187.7,1488.43642,3250006.3354182,2025-06-22 19:15:00+00:00
1750620600000,2187.7,2190.55,2181.57,2183.67,1211.89729,2650143.2251484,2025-06-22 19:30:00+00:00
1750621500000,2183.67,2186.96,2177.51,2183.75,1322.90825,2886361.0420203,2025-06-22 19:45:00+00:00
1750622400000,2183.75,2187.37,2116.98,2138.12,12592.71443,26991950.1081602,2025-06-22 20:00:00+00:00
1750623300000,2138.12,2144.57,2111.84,2130.22,6069.5008,12934517.0174817,2025-06-22 20:15:00+00:00
1750624200000,2130.22,2171.25,2124.71,2170.21,5629.56147,12109458.67873,2025-06-22 20:30:00+00:00
1750625100000,2170.21,2197.32,2161.23,2187.78,3538.84859,7723306.8573062,2025-06-22 20:45:00+00:00
1750626000000,2187.78,2196.65,2180.81,2189.37,3191.503,6986962.9326522,2025-06-22 21:00:00+00:00
1750626900000,2189.37,2195.26,2178.93,2179.79,1487.991,3254131.5745457,2025-06-22 21:15:00+00:00
1750627800000,2179.79,2187.45,2173.56,2187.08,1412.42788,3079989.4035164,2025-06-22 21:30:00+00:00
1750628700000,2187.08,2190.31,2174.01,2179.21,1251.57577,2731493.1158075,2025-06-22 21:45:00+00:00
1750629600000,2179.21,2227.4,2177.27,2216.4,6252.19452,13819697.1514597,2025-06-22 22:00:00+00:00
1750630500000,2216.4,2222.43,2200.69,2208.75,2167.90999,4793182.0339794,2025-06-22 22:15:00+00:00
1750631400000,2208.75,2235.88,2208.05,2233.51,2412.85131,5362581.4566469,2025-06-22 22:30:00+00:00
1750632300000,2233.51,2235.61,2223.75,2233.92,1526.78621,3403575.5945144,2025-06-22 22:45:00+00:00
1750633200000,2233.92,2237.58,2219.76,2223.02,1738.98922,3871705.785975,2025-06-22 23:00:00+00:00
1750634100000,2223.02,2232.44,2223.02,2231.69,1000.37147,2230021.3359906,2025-06-22 23:15:00+00:00
1750635000000,2231.69,2232.27,2223.48,2226.55,845.747,1883496.1694597,2025-06-22 23:30:00+00:00
1750635900000,2226.55,2229.61,2221.57,2227.73,1446.58979,3220156.1731796,2025-06-22 23:45:00+00:00
1750636800000,2227.73,2228.5,2222.31,2228.02,1118.21727,2487844.0141935,2025-06-23 00:00:00+00:00
1750637700000,2228.02,2239.46,2227.31,2233.77,1607.75851,3590433.693637,2025-06-23 00:15:00+00:00
1750638600000,2233.77,2254.49,2225.53,2251.96,5301.07497,11897312.1540575,2025-06-23 00:30:00+00:00
1750639500000,2251.96,2259.94,2238.19,2241.18,1974.14005,4440210.3763643,2025-06-23 00:45:00+00:00
1750640400000,2241.18,2241.98,2228.28,2237.52,1593.12977,3560292.0531505,2025-06-23 01:00:00+00:00
1750641300000,2237.52,2238.79,2229.69,2230.0,797.45058,1780592.0178701,2025-06-23 01:15:00+00:00
1750642200000,2230.0,2236.06,2224.63,2235.11,893.28704,1992616.3241385,2025-06-23 01:30:00+00:00
1750643100000,2235.11,2248.06,2234.28,2246.11,1220.00223,2736919.5735751,2025-06-23 01:45:00+00:00
1750644000000,2246.11,2247.91,2236.84,2238.28,1020.96312,2288796.7325032,2025-06-23 02:00:00+00:00
1750644900000,2238.28,2243.59,2233.6,2242.1,862.09699,1929668.4566573,2025-06-23 02:15:00+00:00
1750645800000,2242.1,2244.29,2237.97,2239.37,629.48961,1410739.9122928,2025-06-23 02:30:00+00:00
1750646700000,2239.37,2242.62,2236.15,2238.95,1246.62603,2790019.3163313,2025-06-23 02:45:00+00:00
1750647600000,2238.95,2243.85,2233.68,2242.5,792.971,1775792.1913972,2025-06-23 03:00:00+00:00
1750648500000,2242.5,2242.67,2236.11,2237.38,643.62759,1441667.7987103,2025-06-23 03:15:00+00:00
1750649400000,2237.38,2240.48,2234.22,2234.87,541.84851,1212068.1262916,2025-06-23 03:30:00+00:00
1750650300000,2234.87,2236.84,2231.24,2234.79,925.38172,2067297.755578,2025-06-23 03:45:00+00:00
1750651200000,2234.79,2236.78,2227.86,2231.17,958.3695,2138634.0147679,2025-06-23 04:00:00+00:00
1750652100000,2231.17,2244.02,2231.17,2238.99,1020.57817,2284865.4130406,2025-06-23 04:15:00+00:00
1750653000000,2238.99,2239.7,2233.71,2234.31,938.96543,2099689.8234903,2025-06-23 04:30:00+00:00
1750653900000,2234.31,2234.88,2232.0,2233.88,628.15114,1402926.7016146,2025-06-23 04:45:00+00:00
1750654800000,2233.88,2243.41,2233.88,2240.85,938.49462,2101640.0761952,2025-06-23 05:00:00+00:00
1750655700000,2240.85,2245.81,2240.11,2241.71,970.93125,2177114.0930378,2025-06-23 05:15:00+00:00
1750656600000,2241.71,2242.25,2238.19,2239.31,612.31187,1371753.4725959,2025-06-23 05:30:00+00:00
1750657500000,2239.31,2250.83,2238.35,2246.61,2293.86277,5154772.8071348,2025-06-23 05:45:00+00:00
1750658400000,2246.61,2254.79,2246.26,2251.58,1725.76113,3886025.8318635,2025-06-23 06:00:00+00:00
1750659300000,2251.58,2255.14,2239.11,2241.12,1044.55448,2347359.3492247,2025-06-23 06:15:00+00:00
1750660200000,2241.12,2249.77,2236.27,2238.14,3393.93152,7615560.5494139,2025-06-23 06:30:00+00:00
1750661100000,2238.14,2251.83,2233.76,2251.12,2215.69214,4966302.7141162,2025-06-23 06:45:00+00:00
1750662000000,2251.12,2275.52,2250.53,2261.9,3655.77859,8277419.8825089,2025-06-23 07:00:00+00:00
1750662900000,2261.9,2261.9,2255.3,2256.6,1538.67427,3474460.3120224,2025-06-23 07:15:00+00:00
1750663800000,2256.6,2259.73,2252.84,2257.01,1157.66846,2612570.0685973,2025-06-23 07:30:00+00:00
1750664700000,2257.01,2259.09,2254.81,2258.91,750.618,1694018.3508779,2025-06-23 07:45:00+00:00
1750665600000,2258.91,2274.32,2257.55,2265.68,2960.31046,6702290.1404663,2025-06-23 08:00:00+00:00
1750666500000,2265.68,2268.65,2261.67,2262.92,961.72467,2177738.3742635,2025-06-23 08:15:00+00:00
1750667400000,2262.92,2263.32,2256.54,2259.66,1117.95503,2525644.7299558,2025-06-23 08:30:00+00:00
1750668300000,2259.66,2262.99,2258.93,2262.0,636.88894,1440281.0873877,2025-06-23 08:45:00+00:00
1750669200000,2262.0,2262.3,2253.49,2257.53,696.01327,1571138.4306346,2025-06-23 09:00:00+00:00
1750670100000,2257.53,2260.08,2245.0,2245.76,1953.33959,4397764.1992181,2025-06-23 09:15:00+00:00
