ts,open,high,low,close,volume,turnover,datetime
1655942400000,34.13,38.64,33.95,38.15,744870.569,27374189.67278,2022-06-23 00:00:00+00:00
1656028800000,38.15,42.89,37.67,41.88,715609.83,28476644.56931,2022-06-24 00:00:00+00:00
1656115200000,41.88,42.64,39.75,42.22,416989.004,17232641.85717,2022-06-25 00:00:00+00:00
1656201600000,42.22,42.52,39.16,39.4,295985.564,12115418.97025,2022-06-26 00:00:00+00:00
1656288000000,39.4,41.26,37.91,38.53,378047.374,14937895.2158,2022-06-27 00:00:00+00:00
1656374400000,38.53,39.9,35.07,35.35,352748.09,13282191.58874,2022-06-28 00:00:00+00:00
1656460800000,35.35,36.24,33.12,34.04,367769.239,12761006.10198,2022-06-29 00:00:00+00:00
1656547200000,34.04,34.2,30.9,33.77,415346.538,13372041.40817,2022-06-30 00:00:00+00:00
1656633600000,33.77,35.4,31.82,32.85,416254.494,13852249.00004,2022-07-01 00:00:00+00:00
1656720000000,32.85,34.14,31.87,33.36,198991.35,6529649.30581,2022-07-02 00:00:00+00:00
1656806400000,33.36,33.77,32.17,33.4,181052.199,5967847.95583,2022-07-03 00:00:00+00:00
1656892800000,33.4,36.94,32.45,36.7,285528.145,9823494.8737,2022-07-04 00:00:00+00:00
1656979200000,36.7,36.96,33.13,35.41,342757.299,12007816.03596,2022-07-05 00:00:00+00:00
1657065600000,35.41,37.66,34.81,37.05,365935.758,13206879.17212,2022-07-06 00:00:00+00:00
1657152000000,37.05,39.26,36.38,38.46,213220.774,8058106.98654,2022-07-07 00:00:00+00:00
1657238400000,38.46,39.7,36.47,38.15,254722.578,9674803.97786,2022-07-08 00:00:00+00:00
1657324800000,38.15,38.92,37.78,38.06,135890.805,5211462.4907,2022-07-09 00:00:00+00:00
1657411200000,38.06,38.13,36.28,36.72,127237.606,4722496.36333,2022-07-10 00:00:00+00:00
1657497600000,36.72,36.72,33.25,33.46,162613.923,5701458.36778,2022-07-11 00:00:00+00:00
1657584000000,33.46,34.6,32.59,32.69,225395.438,7590358.04189,2022-07-12 00:00:00+00:00
1657670400000,32.69,35.08,31.83,34.95,402210.231,13427398.75634,2022-07-13 00:00:00+00:00
1657756800000,34.95,37.28,33.56,37.14,274604.038,9652691.74219,2022-07-14 00:00:00+00:00
1657843200000,37.14,39.1,36.51,37.36,243629.201,9196456.25433,2022-07-15 00:00:00+00:00
1657929600000,37.36,40.41,36.35,39.6,251937.657,9679219.49918,2022-07-16 00:00:00+00:00
1658016000000,39.6,41.1,38.3,38.63,256108.411,10185120.98243,2022-07-17 00:00:00+00:00
1658102400000,38.63,44.05,38.56,43.46,311077.519,12882828.78139,2022-07-18 00:00:00+00:00
1658188800000,43.46,47.33,42.56,44.84,400078.975,18033024.27632,2022-07-19 00:00:00+00:00
1658275200000,44.84,46.27,41.3,42.03,281447.89,12476038.77778,2022-07-20 00:00:00+00:00
1658361600000,42.03,44.06,39.66,43.11,337019.82,14113230.63633,2022-07-21 00:00:00+00:00
1658448000000,43.11,44.31,40.03,40.54,201323.914,8512693.50835,2022-07-22 00:00:00+00:00
1658534400000,40.54,41.93,38.61,39.98,145003.45,5829741.99455,2022-07-23 00:00:00+00:00
1658620800000,39.98,42.07,39.49,40.93,136023.261,5550664.27113,2022-07-24 00:00:00+00:00
1658707200000,40.93,41.07,36.58,36.61,259636.642,10010033.88304,2022-07-25 00:00:00+00:00
1658793600000,36.61,36.82,34.64,36.26,266598.359,9524464.63118,2022-07-26 00:00:00+00:00
1658880000000,36.26,40.54,35.68,40.22,302553.999,11408605.80777,2022-07-27 00:00:00+00:00
1658966400000,40.22,44.16,39.04,42.95,329968.881,13553924.7939,2022-07-28 00:00:00+00:00
1659052800000,42.95,44.42,41.15,41.91,332650.759,14165349.23612,2022-07-29 00:00:00+00:00
1659139200000,41.91,46.63,41.44,43.83,297878.163,13024720.24487,2022-07-30 00:00:00+00:00
1659225600000,43.83,45.19,42.22,42.37,202449.677,8862801.31536,2022-07-31 00:00:00+00:00
1659312000000,42.37,43.25,40.57,41.62,224455.706,9444396.58483,2022-08-01 00:00:00+00:00
1659398400000,41.62,42.43,39.5,39.77,212522.728,8678094.36182,2022-08-02 00:00:00+00:00
1659484800000,39.77,40.98,37.4,38.53,462236.635,18138198.19798,2022-08-03 00:00:00+00:00
1659571200000,38.53,39.86,37.99,38.81,242215.998,9421681.21919,2022-08-04 00:00:00+00:00
1659657600000,38.81,41.33,38.71,40.55,218312.187,8750269.41708,2022-08-05 00:00:00+00:00
1659744000000,40.55,40.9,39.85,40.06,97907.02,3961783.82312,2022-08-06 00:00:00+00:00
1659830400000,40.06,41.56,39.2,40.61,107537.57,4324656.49252,2022-08-07 00:00:00+00:00
1659916800000,40.61,43.7,40.56,42.2,134966.115,5716422.14106,2022-08-08 00:00:00+00:00
1660003200000,42.2,42.75,39.75,40.35,124295.348,5128338.90726,2022-08-09 00:00:00+00:00
1660089600000,40.35,42.86,39.16,42.45,202721.184,8322357.6865,2022-08-10 00:00:00+00:00
