ts,open,high,low,close,volume,turnover,datetime
1750608000000,128.57,129.92,128.29,129.83,68414.685,8826841.12426,2025-06-22 16:00:00+00:00
1750611600000,129.83,131.46,129.32,130.49,61266.608,7981443.3232,2025-06-22 17:00:00+00:00
1750615200000,130.49,131.12,129.3,129.45,39922.65,5202161.68198,2025-06-22 18:00:00+00:00
1750618800000,129.45,129.51,128.54,129.07,41173.75,5311874.17238,2025-06-22 19:00:00+00:00
1750622400000,129.07,130.13,126.0,129.55,153648.992,19617740.57944,2025-06-22 20:00:00+00:00
1750626000000,129.55,130.05,127.97,129.01,52171.591,6740505.94501,2025-06-22 21:00:00+00:00
1750629600000,129.01,132.45,128.83,132.17,91120.695,11934377.0292,2025-06-22 22:00:00+00:00
1750633200000,132.17,132.57,131.42,131.71,28512.357,3764195.80677,2025-06-22 23:00:00+00:00
1750636800000,131.71,133.52,131.52,132.53,42700.425,5656755.30845,2025-06-23 00:00:00+00:00
1750640400000,132.53,133.15,131.73,133.05,25613.733,3392044.59771,2025-06-23 01:00:00+00:00
1750644000000,133.05,133.23,132.54,132.85,15253.194,2026928.80729,2025-06-23 02:00:00+00:00
1750647600000,132.85,133.15,132.29,132.67,13824.413,1834168.09609,2025-06-23 03:00:00+00:00
1750651200000,132.67,133.73,132.36,133.17,22286.83,2965671.98755,2025-06-23 04:00:00+00:00
1750654800000,133.17,134.77,133.13,134.41,29765.971,3989382.61597,2025-06-23 05:00:00+00:00
1750658400000,134.41,134.76,133.58,134.3,28699.688,3852659.19826,2025-06-23 06:00:00+00:00
1750662000000,134.3,135.0,134.01,134.37,28212.572,3794781.2032,2025-06-23 07:00:00+00:00
1750665600000,134.37,134.88,133.94,134.35,18630.066,2502315.01577,2025-06-23 08:00:00+00:00
1750669200000,134.35,134.46,133.46,134.34,27690.746,3711013.84146,2025-06-23 09:00:00+00:00
1750672800000,134.34,134.52,133.29,133.82,21181.383,2834525.89783,2025-06-23 10:00:00+00:00
1750676400000,133.82,134.45,133.24,134.1,16418.266,2196405.7724,2025-06-23 11:00:00+00:00
1750680000000,134.1,135.54,133.76,135.52,35324.941,4756001.23563,2025-06-23 12:00:00+00:00
1750683600000,135.52,136.95,132.92,136.64,147580.553,19946651.17515,2025-06-23 13:00:00+00:00
1750687200000,136.64,137.49,134.58,134.77,116644.054,15873297.84727,2025-06-23 14:00:00+00:00
1750690800000,134.77,135.49,133.13,133.41,53088.687,7125515.10563,2025-06-23 15:00:00+00:00
1750694400000,133.41,133.64,130.67,132.51,121665.185,16062014.22606,2025-06-23 16:00:00+00:00
1750698000000,132.51,137.27,132.27,136.77,144070.095,19523596.69934,2025-06-23 17:00:00+00:00
1750701600000,136.77,139.33,136.76,138.11,119521.887,16551466.77597,2025-06-23 18:00:00+00:00
1750705200000,138.11,140.24,138.06,139.77,66806.961,9297925.40909,2025-06-23 19:00:00+00:00
1750708800000,139.77,142.26,139.23,140.59,137168.94,19377653.5824,2025-06-23 20:00:00+00:00
1750712400000,140.59,141.72,140.46,140.93,34851.648,4914080.11888,2025-06-23 21:00:00+00:00
1750716000000,140.93,146.93,140.92,144.89,248806.629,35969154.49294,2025-06-23 22:00:00+00:00
1750719600000,144.89,145.24,144.21,144.5,43441.554,6286533.51338,2025-06-23 23:00:00+00:00
1750723200000,144.5,144.78,143.02,143.34,40385.859,5806575.54096,2025-06-24 00:00:00+00:00
1750726800000,143.34,144.39,142.98,143.84,19429.273,2790674.89134,2025-06-24 01:00:00+00:00
