ts,open,high,low,close,volume,turnover,datetime
1750605300000,1.9495,1.9608,1.9467,1.9467,963315.9,1883050.215106,2025-06-22 15:15:00+00:00
1750606200000,1.9467,1.9537,1.9357,1.9373,666966.5,1298026.620771,2025-06-22 15:30:00+00:00
1750607100000,1.9373,1.9421,1.9295,1.9345,758564.45,1468347.435429,2025-06-22 15:45:00+00:00
1750608000000,1.9345,1.9462,1.9289,1.932,1006323.47,1950069.736144,2025-06-22 16:00:00+00:00
1750608900000,1.932,1.9425,1.929,1.9375,764770.27,1480298.602881,2025-06-22 16:15:00+00:00
1750609800000,1.9375,1.9559,1.9364,1.9458,618301.22,1203927.831913,2025-06-22 16:30:00+00:00
1750610700000,1.9458,1.9617,1.9445,1.9605,1127272.67,2203335.50102,2025-06-22 16:45:00+00:00
1750611600000,1.9605,1.9822,1.9567,1.9743,1162285.2,2289374.63347,2025-06-22 17:00:00+00:00
1750612500000,1.9743,1.9752,1.9555,1.9587,744303.19,1461443.403251,2025-06-22 17:15:00+00:00
1750613400000,1.9587,1.9728,1.9575,1.9728,362852.49,712951.435641,2025-06-22 17:30:00+00:00
1750614300000,1.9728,1.9794,1.9672,1.9762,795321.93,1571023.255358,2025-06-22 17:45:00+00:00
1750615200000,1.9762,1.9836,1.9694,1.9694,556075.69,1100289.014704,2025-06-22 18:00:00+00:00
1750616100000,1.9694,1.9771,1.9678,1.9765,354947.68,699921.647987,2025-06-22 18:15:00+00:00
1750617000000,1.9765,1.9796,1.9673,1.9796,307518.8,606547.299815,2025-06-22 18:30:00+00:00
1750617900000,1.9796,1.9797,1.9634,1.9645,203740.38,401595.84509,2025-06-22 18:45:00+00:00
1750618800000,1.9645,1.9685,1.9581,1.9605,456035.58,894836.695268,2025-06-22 19:00:00+00:00
1750619700000,1.9605,1.9626,1.9535,1.9587,474719.08,929444.019704,2025-06-22 19:15:00+00:00
1750620600000,1.9587,1.9617,1.9537,1.9578,194472.52,380867.731442,2025-06-22 19:30:00+00:00
1750621500000,1.9578,1.9659,1.9541,1.9642,284921.77,558557.942494,2025-06-22 19:45:00+00:00
1750622400000,1.9642,1.9658,1.9315,1.9355,1662427.64,3234409.411437,2025-06-22 20:00:00+00:00
1750623300000,1.9355,1.9415,1.9084,1.9123,2858855.34,5495836.256196,2025-06-22 20:15:00+00:00
1750624200000,1.9123,1.9534,1.9089,1.9525,1746378.29,3375960.184953,2025-06-22 20:30:00+00:00
1750625100000,1.9525,1.9803,1.9484,1.968,1221628.22,2401781.659742,2025-06-22 20:45:00+00:00
1750626000000,1.968,1.9766,1.9641,1.9726,1075133.43,2120700.636983,2025-06-22 21:00:00+00:00
1750626900000,1.9726,1.9771,1.965,1.9651,689039.05,1357927.160636,2025-06-22 21:15:00+00:00
1750627800000,1.9651,1.973,1.9564,1.9727,522417,1025987.990332,2025-06-22 21:30:00+00:00
1750628700000,1.9727,1.973,1.955,1.9591,197343.73,387705.164081,2025-06-22 21:45:00+00:00
1750629600000,1.9591,1.9855,1.9429,1.978,2391452.08,4700524.126282,2025-06-22 22:00:00+00:00
1750630500000,1.978,1.9843,1.9662,1.9757,1054501.19,2082599.318234,2025-06-22 22:15:00+00:00
1750631400000,1.9757,2.0048,1.9755,2.003,1029057.4,2050612.808673,2025-06-22 22:30:00+00:00
1750632300000,2.003,2.0165,1.9956,2.0161,1482871.69,2977188.516109,2025-06-22 22:45:00+00:00
1750633200000,2.0161,2.0232,2.006,2.0108,1085219.73,2187017.586259,2025-06-22 23:00:00+00:00
1750634100000,2.0108,2.0217,2.0088,2.0183,966302.16,1947888.249709,2025-06-22 23:15:00+00:00
1750635000000,2.0183,2.0183,2.009,2.0132,419074.93,843204.040194,2025-06-22 23:30:00+00:00
1750635900000,2.0132,2.0199,2.0084,2.0172,1430908.73,2884207.410764,2025-06-22 23:45:00+00:00
1750636800000,2.0172,2.0178,2.0106,2.0147,590422.3,1189263.273736,2025-06-23 00:00:00+00:00
1750637700000,2.0147,2.0241,2.0139,2.0185,392389.13,792098.446828,2025-06-23 00:15:00+00:00
1750638600000,2.0185,2.0307,2.011,2.0295,455065.53,920572.09854,2025-06-23 00:30:00+00:00
1750639500000,2.0295,2.0327,2.0146,2.0167,561820.98,1137406.490461,2025-06-23 00:45:00+00:00
1750640400000,2.0167,2.0169,2.01,2.0132,245405.68,493933.436122,2025-06-23 01:00:00+00:00
1750641300000,2.0132,2.0147,2.0056,2.0062,244809.64,491986.518958,2025-06-23 01:15:00+00:00
1750642200000,2.0062,2.0105,2.0038,2.0105,247723.48,497220.240308,2025-06-23 01:30:00+00:00
1750643100000,2.0105,2.0226,2.0095,2.0222,229325.39,462629.010793,2025-06-23 01:45:00+00:00
1750644000000,2.0222,2.0241,2.0157,2.0163,291436.98,588935.904612,2025-06-23 02:00:00+00:00
1750644900000,2.0163,2.0197,2.0116,2.0185,296454.07,597784.648413,2025-06-23 02:15:00+00:00
1750645800000,2.0185,2.0209,2.0138,2.017,195626.82,394751.589073,2025-06-23 02:30:00+00:00
1750646700000,2.017,2.0181,2.0119,2.0165,156932.6,316284.889887,2025-06-23 02:45:00+00:00
1750647600000,2.0165,2.0236,2.0119,2.0236,256677.07,518308.841866,2025-06-23 03:00:00+00:00
1750648500000,2.0236,2.0254,2.0158,2.0175,305161.73,617122.535449,2025-06-23 03:15:00+00:00
1750649400000,2.0175,2.0202,2.0139,2.0144,168953.84,340806.020514,2025-06-23 03:30:00+00:00
1750650300000,2.0144,2.0198,2.0136,2.0183,266558.65,537514.414451,2025-06-23 03:45:00+00:00
1750651200000,2.0183,2.0213,2.0126,2.0151,222364.49,448336.595765,2025-06-23 04:00:00+00:00
1750652100000,2.0151,2.0267,2.0151,2.0222,258367.85,522666.518321,2025-06-23 04:15:00+00:00
1750653000000,2.0222,2.025,2.019,2.0213,205172.93,414933.665282,2025-06-23 04:30:00+00:00
1750653900000,2.0213,2.0224,2.0171,2.0217,178188.62,359930.796033,2025-06-23 04:45:00+00:00
1750654800000,2.0217,2.0255,2.0178,2.0182,445626.24,900867.92052,2025-06-23 05:00:00+00:00
1750655700000,2.0182,2.0251,2.0173,2.0222,305915.24,618515.893703,2025-06-23 05:15:00+00:00
1750656600000,2.0222,2.0249,2.0193,2.0241,269102.03,544261.690599,2025-06-23 05:30:00+00:00
1750657500000,2.0241,2.0327,2.023,2.0312,567481.14,1151894.988274,2025-06-23 05:45:00+00:00
1750658400000,2.0312,2.0354,2.0287,2.0305,553853.56,1125407.274587,2025-06-23 06:00:00+00:00
1750659300000,2.0305,2.0328,2.0205,2.0205,445625.42,902516.348831,2025-06-23 06:15:00+00:00
1750660200000,2.0205,2.023,2.015,2.0162,575784.39,1162183.713625,2025-06-23 06:30:00+00:00
1750661100000,2.0162,2.0227,2.0106,2.0224,650823.33,1312169.291782,2025-06-23 06:45:00+00:00
1750662000000,2.0224,2.0317,2.0209,2.0214,524717.21,1063355.129274,2025-06-23 07:00:00+00:00
1750662900000,2.0214,2.0214,2.0149,2.0164,282339.22,569810.747061,2025-06-23 07:15:00+00:00
1750663800000,2.0164,2.0232,2.0138,2.0229,477156.6,962745.225164,2025-06-23 07:30:00+00:00
1750664700000,2.0229,2.0261,2.0212,2.0237,229908.15,465324.523975,2025-06-23 07:45:00+00:00
1750665600000,2.0237,2.0279,2.0197,2.0224,363781.19,736023.007442,2025-06-23 08:00:00+00:00
1750666500000,2.0224,2.0243,2.0181,2.0192,259440.89,524499.65514,2025-06-23 08:15:00+00:00
1750667400000,2.0192,2.0193,2.0128,2.0174,157839.67,318145.185971,2025-06-23 08:30:00+00:00
1750668300000,2.0174,2.0211,2.0166,2.0198,191138.91,385828.79578,2025-06-23 08:45:00+00:00
1750669200000,2.0198,2.0205,2.0136,2.014,290840.37,586296.038663,2025-06-23 09:00:00+00:00
1750670100000,2.014,2.0159,2.0052,2.0057,456089.12,916642.584221,2025-06-23 09:15:00+00:00
1750671000000,2.0057,2.0089,2.0047,2.0079,307288.63,616628.189928,2025-06-23 09:30:00+00:00
1750671900000,2.0079,2.0099,2.006,2.0079,168390,338165.608169,2025-06-23 09:45:00+00:00
1750672800000,2.0079,2.0082,2.0006,2.0037,587582.24,1177769.080426,2025-06-23 10:00:00+00:00
1750673700000,2.0037,2.0037,1.9947,1.9947,709573.39,1418188.56466,2025-06-23 10:15:00+00:00
1750674600000,1.9947,1.9979,1.9866,1.9885,547604.08,1090754.414814,2025-06-23 10:30:00+00:00
1750675500000,1.9885,1.995,1.9885,1.9946,364331.91,725861.058797,2025-06-23 10:45:00+00:00
1750676400000,1.9946,2.0007,1.9924,1.9975,691411.57,1381442.515327,2025-06-23 11:00:00+00:00
1750677300000,1.9975,1.999,1.9903,1.9926,388178.38,773785.720997,2025-06-23 11:15:00+00:00
1750678200000,1.9926,1.9987,1.9923,1.9974,241766.45,482786.951892,2025-06-23 11:30:00+00:00
1750679100000,1.9974,2.0036,1.9944,2.0014,309860.74,619855.22803,2025-06-23 11:45:00+00:00
1750680000000,2.0014,2.0036,1.9956,2.0028,217200.27,434529.018675,2025-06-23 12:00:00+00:00
1750680900000,2.0028,2.0057,2.0005,2.0023,419282.1,839610.369146,2025-06-23 12:15:00+00:00
1750681800000,2.0023,2.0157,2.0002,2.0129,437257.29,878621.369184,2025-06-23 12:30:00+00:00
1750682700000,2.0129,2.0202,2.0126,2.02,354547.88,714760.535215,2025-06-23 12:45:00+00:00
1750683600000,2.02,2.0207,1.9995,2.0019,335923,674880.355204,2025-06-23 13:00:00+00:00
1750684500000,2.0019,2.0037,1.996,1.9978,305302.42,610602.235985,2025-06-23 13:15:00+00:00
1750685400000,1.9978,2.035,1.986,2.0237,1727727,3468860.146361,2025-06-23 13:30:00+00:00
1750686300000,2.0237,2.0325,2.0104,2.0289,1415890.06,2863937.109382,2025-06-23 13:45:00+00:00
1750687200000,2.0289,2.039,2.0241,2.0283,1345493.3,2732775.326757,2025-06-23 14:00:00+00:00
1750688100000,2.0283,2.0293,2.0132,2.0155,726041.06,1466244.130448,2025-06-23 14:15:00+00:00
1750689000000,2.0155,2.0236,2.0126,2.022,544897.23,1099777.442176,2025-06-23 14:30:00+00:00
1750689900000,2.022,2.0252,2.0153,2.0192,260884.9,526930.981123,2025-06-23 14:45:00+00:00
1750690800000,2.0192,2.0296,2.0179,2.0253,389769.94,789007.365985,2025-06-23 15:00:00+00:00
1750691700000,2.0253,2.026,2.0121,2.0121,478542.42,966276.554073,2025-06-23 15:15:00+00:00
1750692600000,2.0121,2.0164,2.0038,2.0061,479452.77,964273.907707,2025-06-23 15:30:00+00:00
1750693500000,2.0061,2.0066,1.9945,1.9987,1517517.22,3031990.131441,2025-06-23 15:45:00+00:00
1750694400000,1.9987,2.0007,1.9903,1.9912,550822.89,1098862.654728,2025-06-23 16:00:00+00:00
1750695300000,1.9912,1.9963,1.9726,1.9741,1122777.21,2227350.833147,2025-06-23 16:15:00+00:00
1750696200000,1.9741,1.9817,1.9612,1.9767,1393400.27,2747537.380378,2025-06-23 16:30:00+00:00
1750697100000,1.9767,1.9856,1.963,1.9723,1268043.8,2502150.404531,2025-06-23 16:45:00+00:00
1750698000000,1.9723,2.0006,1.9659,1.9885,1223431.67,2428104.23351,2025-06-23 17:00:00+00:00
1750698900000,1.9885,2.0211,1.9885,2.0175,1944798.4,3906081.98543,2025-06-23 17:15:00+00:00
