ts,open,high,low,close,volume,turnover,datetime
1655942400000,0.3223,0.3369,0.3215,0.3357,66903236.01,21950897.531895,2022-06-23 00:00:00+00:00
1656028800000,0.3357,0.387,0.3348,0.3672,121301968.16,44551023.576945,2022-06-24 00:00:00+00:00
1656115200000,0.3672,0.374,0.3542,0.3675,55172811.72,20163664.178035,2022-06-25 00:00:00+00:00
1656201600000,0.3675,0.375,0.3576,0.3592,54704140.61,20009530.96928,2022-06-26 00:00:00+00:00
1656288000000,0.3592,0.3671,0.3477,0.3538,58023464.06,20812565.68773,2022-06-27 00:00:00+00:00
1656374400000,0.3538,0.3557,0.3353,0.3375,61056974.53,21085017.556734,2022-06-28 00:00:00+00:00
1656460800000,0.3375,0.3417,0.3202,0.3296,78847881.55,26056311.296992,2022-06-29 00:00:00+00:00
1656547200000,0.3296,0.3332,0.3059,0.3323,113143782.43,36083843.234442,2022-06-30 00:00:00+00:00
1656633600000,0.3323,0.3361,0.3097,0.3139,105389715.89,33552867.749275,2022-07-01 00:00:00+00:00
1656720000000,0.3139,0.3179,0.3094,0.3156,47853785.07,14996871.472635,2022-07-02 00:00:00+00:00
1656806400000,0.3156,0.3257,0.3088,0.3215,41571308.96,13112298.551073,2022-07-03 00:00:00+00:00
1656892800000,0.3215,0.3298,0.3146,0.3285,55643638.78,17924637.094903,2022-07-04 00:00:00+00:00
1656979200000,0.3285,0.3311,0.3128,0.325,67956105.08,21922082.639109,2022-07-05 00:00:00+00:00
1657065600000,0.325,0.334,0.3198,0.3322,57096323.89,18522248.979852,2022-07-06 00:00:00+00:00
1657152000000,0.3322,0.3454,0.3268,0.3421,45861659.55,15334486.046784,2022-07-07 00:00:00+00:00
1657238400000,0.3421,0.3589,0.3359,0.3403,72734153.34,25268334.855013,2022-07-08 00:00:00+00:00
1657324800000,0.3403,0.3476,0.3393,0.3448,28863771.68,9908498.281918,2022-07-09 00:00:00+00:00
1657411200000,0.3448,0.3449,0.3195,0.3256,41651654.15,13813612.175114,2022-07-10 00:00:00+00:00
1657497600000,0.3256,0.3291,0.3108,0.3151,54981368.94,17729608.594741,2022-07-11 00:00:00+00:00
1657584000000,0.3151,0.318,0.3075,0.3115,55558694.93,17358189.197361,2022-07-12 00:00:00+00:00
1657670400000,0.3115,0.3258,0.3023,0.3237,82140786.43,25792743.879021,2022-07-13 00:00:00+00:00
